Pot number,Treatment [mM NO3],SLA [cm2/g]
1,0mM NO3,184.383
2,2mM NO3,194.694
3,8mM NO3,263.029
4,16mM NO3,335.738
5,8mM NO3,351.844
6,16mM NO3,347.461
7,2mM NO3,229.386
8,24mM NO3,391.596
9,8mM NO3,252.234
10,16mM NO3,340.354
11,0mM NO3,177.123
12,0mM NO3,179.007
13,0mM NO3,157.303
14,24mM NO3,463.746
15,0mM NO3,195.483
16,2mM NO3,197.975
17,2mM NO3,206.747
18,8mM NO3,350.278
19,16mM NO3,274.58
20,8mM NO3,299.084
21,16mM NO3,338.415
22,24mM NO3,354.349
23,2mM NO3,221.169
24,16mM NO3,325.908
25,16mM NO3,320.643
26,24mM NO3,368.025
27,24mM NO3,361.975
28,24mM NO3,309.876
29,0mM NO3,203.174
30,8mM NO3,275.493
31,24mM NO3,324.126
32,24mM NO3,357.645
33,8mM NO3,285.807
34,0mM NO3,156.729
35,16mM NO3,255.408
36,0mM NO3,195.429
37,16mM NO3,306.938
38,2mM NO3,236.586
39,0mM NO3,155.632
40,0mM NO3,144.004
41,16mM NO3,380.002
42,8mM NO3,336.536
43,24mM NO3,387.716
44,8mM NO3,243.442
45,24mM NO3,336.764
46,24mM NO3,361.43
47,0mM NO3,170.866
48,2mM NO3,214.625
49,8mM NO3,293.055
50,0mM NO3,184.599
51,2mM NO3,182.155
52,24mM NO3,428.609
53,2mM NO3,248.773
54,8mM NO3,303.482
55,2mM NO3,224.368
56,2mM NO3,262.43
57,8mM NO3,290.05
58,16mM NO3,289.327
59,2mM NO3,231.296
60,16mM NO3,325.02
